sequence_id,camera_preset,states,total_detections,unique_tracks,tracks_ge2_states,tracks_ge3_states,max_track_length,mean_track_length,persistent_detections,persistent_detection_pct,matched_events,adjacent_persistence_rate,new_defect_events,not_observed_events
SEG_001_D03_D10,🌄 Highway Curve Vantage Overlook,8,22,12,6,4,3,1.83,16,72.7%,10,45.5%,12,12
SEG_002_D01_D02,🔍 Low-Angle Pothole Inspection (30° Close-Up),2,4,2,2,0,2,2.0,4,100.0%,2,100.0%,2,0
SEG_002_D04_D05,💧 Waterlogged Pothole Macro View,2,8,8,0,0,1,1.0,0,0.0%,0,0.0%,8,3
SEG_002_D06_D07,🌄 Highway Curve Vantage Overlook,2,3,3,0,0,1,1.0,0,0.0%,0,0.0%,3,2
SEG_003_D01_D07,🌄 Highway Curve Vantage Overlook,7,7,1,1,1,7,7.0,7,100.0%,6,100.0%,1,0
SEG_003_D08_D09,🔭 Overhead Drone Survey (SAM 2 Top-Down),2,2,1,1,0,2,2.0,2,100.0%,1,100.0%,1,0
SEG_004_D01_D05,🔭 Overhead Drone Survey (SAM 2 Top-Down),5,6,5,1,0,2,1.2,2,33.3%,1,50.0%,5,1
SEG_004_D06_D10,🌄 Highway Curve Vantage Overlook,5,29,16,11,2,3,1.81,24,82.8%,13,44.8%,16,16
