subset_name,sample_size_N,spearman_rho_grade_vs_severity,p_value_grade_vs_severity,spearman_rho_density_vs_severity,p_value_density_vs_severity,spearman_rho_density_vs_count,p_value_density_vs_count,interpretation
Experiment A Primary Set (Unstratified),39,0.1197,4.6788e-01,-0.0236,8.8675e-01,0.0744,6.5240e-01,Weak association dominated by environmental confounding across conditions
Overhead Drone Survey (All Segments),10,0.7738,8.6335e-03,0.2008,5.7803e-01,0.3322,3.4836e-01,Strong positive rank association when viewpoint is controlled
Highway Curve Overlook (All Segments),23,-0.0350,8.7418e-01,-0.2105,3.3510e-01,-0.2022,3.5484e-01,Weak association dominated by environmental confounding across conditions
SEG_004 D01-D05 (Overhead Drone Controlled Progression),5,0.8839,4.6662e-02,N/A,N/A,N/A,N/A,Strong positive rank association when viewpoint is controlled
SEG_001 D03-D10 (Highway Curve Overlook Multi-Condition),8,-0.2582,5.3696e-01,0.2733,5.1251e-01,0.2125,6.1337e-01,Inverted association due to sunset marking over-suppression
Clear Noon Lighting Only (All Cameras),28,0.0903,6.4781e-01,0.2155,2.7080e-01,0.4357,2.0484e-02,Weak association dominated by environmental confounding across conditions
