site_id,current_date,future_date,days_ahead,current_rating,future_rating,current_severity,future_severity,borough,on_street,from_street,to_street
110010118510118530,2019-08-17,2020-10-03,413,9.930000,8.390000,0.007777778,0.178888889,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118510118530,2020-10-03,2022-04-23,567,8.390000,8.150000,0.178888889,0.205555556,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118510118530,2022-04-23,2023-01-14,266,8.150000,9.110000,0.205555556,0.098888889,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118510118530,2023-01-14,2024-03-24,435,9.110000,7.210000,0.098888889,0.310000000,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118510118530,2024-03-24,2025-07-06,469,7.210000,6.920000,0.310000000,0.342222222,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118510118530,2025-07-06,2026-07-10,369,6.920000,9.590000,0.342222222,0.045555556,Manhattan,1 AVENUE,EAST 76 STREET,EAST 77 STREET
110010118530118550,2018-06-02,2018-09-01,91,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2019-08-17,2020-10-03,413,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2020-10-03,2022-04-23,567,9.930000,8.770000,0.007777778,0.136666667,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2022-04-23,2023-01-14,266,8.770000,9.110000,0.136666667,0.098888889,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2023-01-14,2024-03-24,435,9.110000,7.570000,0.098888889,0.270000000,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2024-03-24,2025-07-06,469,7.570000,7.590000,0.270000000,0.267777778,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118530118550,2025-07-06,2026-07-10,369,7.590000,9.590000,0.267777778,0.045555556,Manhattan,1 AVENUE,EAST 77 STREET,EAST 78 STREET
110010118550118570,2018-06-02,2018-09-01,91,9.110000,9.110000,0.098888889,0.098888889,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2018-09-01,2019-08-17,350,9.110000,9.930000,0.098888889,0.007777778,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2019-08-17,2020-10-03,413,9.930000,9.110000,0.007777778,0.098888889,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2020-10-03,2022-04-23,567,9.110000,9.010000,0.098888889,0.110000000,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2022-04-23,2023-01-14,266,9.010000,8.240000,0.110000000,0.195555556,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2023-01-14,2024-03-24,435,8.240000,7.450000,0.195555556,0.283333333,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2024-03-24,2025-07-06,469,7.450000,8.800000,0.283333333,0.133333333,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118550118570,2025-07-06,2026-07-10,369,8.800000,9.930000,0.133333333,0.007777778,Manhattan,1 AVENUE,EAST 78 STREET,EAST 79 STREET
110010118570118590,2018-06-02,2018-09-01,91,9.110000,9.930000,0.098888889,0.007777778,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2019-08-17,2020-10-03,413,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2020-10-03,2022-04-23,567,9.930000,8.770000,0.007777778,0.136666667,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2022-04-23,2023-01-14,266,8.770000,9.110000,0.136666667,0.098888889,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2023-01-14,2024-03-24,435,9.110000,9.140000,0.098888889,0.095555556,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2024-03-24,2025-07-06,469,9.140000,7.560000,0.095555556,0.271111111,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118570118590,2025-07-06,2026-07-10,369,7.560000,9.930000,0.271111111,0.007777778,Manhattan,1 AVENUE,EAST 79 STREET,EAST 80 STREET
110010118590118610,2018-06-02,2018-09-01,91,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2019-08-17,2020-10-03,413,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2020-10-03,2022-04-23,567,9.930000,8.770000,0.007777778,0.136666667,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2022-04-23,2023-01-14,266,8.770000,9.110000,0.136666667,0.098888889,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2023-01-14,2024-03-24,435,9.110000,9.140000,0.098888889,0.095555556,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2024-03-24,2025-07-06,469,9.140000,9.440000,0.095555556,0.062222222,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118590118610,2025-07-06,2026-07-10,369,9.440000,8.050000,0.062222222,0.216666667,Manhattan,1 AVENUE,EAST 80 STREET,EAST 81 STREET
110010118610118630,2018-06-02,2018-09-01,91,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2019-08-17,2020-10-03,413,9.930000,8.490000,0.007777778,0.167777778,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2020-10-03,2022-04-23,567,8.490000,8.870000,0.167777778,0.125555556,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2022-04-23,2023-01-14,266,8.870000,9.930000,0.125555556,0.007777778,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2023-01-14,2024-03-24,435,9.930000,9.260000,0.007777778,0.082222222,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2024-03-24,2025-07-06,469,9.260000,9.440000,0.082222222,0.062222222,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118610118630,2025-07-06,2026-07-10,369,9.440000,9.830000,0.062222222,0.018888889,Manhattan,1 AVENUE,EAST 81 STREET,EAST 82 STREET
110010118630118650,2018-06-02,2018-09-01,91,9.110000,9.930000,0.098888889,0.007777778,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2018-09-01,2019-08-17,350,9.930000,9.930000,0.007777778,0.007777778,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2019-08-17,2020-10-03,413,9.930000,9.110000,0.007777778,0.098888889,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2020-10-03,2022-04-23,567,9.110000,8.690000,0.098888889,0.145555556,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2022-04-23,2023-01-14,266,8.690000,9.110000,0.145555556,0.098888889,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2023-01-14,2024-03-24,435,9.110000,7.270000,0.098888889,0.303333333,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2024-03-24,2025-07-06,469,7.270000,8.140000,0.303333333,0.206666667,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118630118650,2025-07-06,2026-07-10,369,8.140000,7.770000,0.206666667,0.247777778,Manhattan,1 AVENUE,EAST 82 STREET,EAST 83 STREET
110010118650118670,2018-06-02,2018-09-01,91,9.110000,9.110000,0.098888889,0.098888889,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2018-09-01,2019-08-17,350,9.110000,9.110000,0.098888889,0.098888889,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2019-08-17,2020-10-03,413,9.110000,9.690000,0.098888889,0.034444444,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2020-10-03,2022-04-23,567,9.690000,8.870000,0.034444444,0.125555556,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2022-04-23,2023-01-14,266,8.870000,7.240000,0.125555556,0.306666667,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
110010118650118670,2023-01-14,2024-03-24,435,7.240000,6.450000,0.306666667,0.394444444,Manhattan,1 AVENUE,EAST 83 STREET,EAST 84 STREET
